Customer ID,Recency,Frequency,Monetary,TotalQuantity,UniqueProducts,AverageOrderValue
12346.0,165,11,372.86,70,26,33.89636363636364
12347.0,3,2,1323.32,828,70,661.66
12348.0,74,1,222.16,373,20,222.16
12349.0,43,3,2671.14,993,90,890.38
12351.0,11,1,300.93,261,21,300.93
12352.0,11,2,343.8,188,18,171.9
12353.0,44,1,317.76,192,20,317.76
12355.0,203,1,488.21000000000004,303,22,488.21000000000004
12356.0,16,3,3560.3,1825,68,1186.7666666666667
12357.0,24,2,12079.99,3879,165,6039.995
12358.0,11,3,2719.01,831,52,906.3366666666667
12359.0,61,6,2563.36,1130,110,427.2266666666667
12360.0,15,5,1590.83,1294,74,318.166
12361.0,98,3,321.35,144,14,107.11666666666667
12362.0,374,1,130.0,1,1,130.0
12366.0,269,1,500.24,296,3,500.24
12368.0,264,1,917.6999999999999,330,18,917.6999999999999
12369.0,49,3,1791.15,1241,90,597.0500000000001
12370.0,260,3,774.62,252,33,258.20666666666665
12371.0,45,3,2179.42,845,91,726.4733333333334
12373.0,260,2,763.0500000000001,319,31,381.52500000000003
12374.0,57,3,2246.29,1020,47,748.7633333333333
12376.0,25,2,503.15,240,11,251.575
12377.0,17,2,1798.2,1161,75,899.1
12378.0,198,1,1407.7,787,82,1407.7
12379.0,58,2,767.98,408,37,383.99
12380.0,101,7,6951.49,2228,119,993.0699999999999
12385.0,15,1,1938.4,612,65,1938.4
12386.0,2,1,258.9,214,8,258.9
12387.0,51,1,143.94,134,9,143.94
12388.0,81,2,1120.45,539,36,560.225
12389.0,38,3,1433.33,614,41,477.77666666666664
12391.0,100,5,2285.18,911,159,457.03599999999994
12392.0,227,1,234.75000000000003,73,7,234.75000000000003
12393.0,18,2,816.85,495,38,408.425
12395.0,7,4,2048.64,1615,83,512.16
12396.0,310,1,931.43,591,65,931.43
12399.0,21,3,853.65,1020,40,284.55
12400.0,50,1,205.25,91,11,205.25
12402.0,28,5,1031.3,490,40,206.26
12403.0,157,1,591.6600000000001,164,4,591.6600000000001
12404.0,318,1,63.24,1,1,63.24
12406.0,35,3,2975.06,1598,44,991.6866666666666
12408.0,21,3,1452.22,820,41,484.0733333333333
12409.0,56,4,12346.619999999999,7592,125,3086.6549999999997
12410.0,138,1,320.38,130,14,320.38
12411.0,45,1,346.9,138,22,346.9
12412.0,38,3,1370.05,1168,50,456.68333333333334
12413.0,38,1,241.35,33,13,241.35
12414.0,99,3,390.0,195,9,130.0
12415.0,11,7,19543.84,14073,169,2791.977142857143
12416.0,292,1,202.56,132,11,202.56
12417.0,46,11,3148.31,1332,144,286.21
12418.0,49,3,1352.62,681,61,450.8733333333333
12419.0,21,2,503.01,231,23,251.505
12421.0,51,2,291.56,168,18,145.78
12422.0,30,14,4428.24,2226,109,316.30285714285714
12423.0,23,2,763.08,454,38,381.54
12424.0,58,2,1579.07,1285,59,789.535
12425.0,84,1,964.21,651,55,964.21
12426.0,298,1,762.48,326,47,762.48
12427.0,7,1,303.5,79,10,303.5
12429.0,1,5,3735.51,1787,70,747.1020000000001
12431.0,9,13,4370.52,1811,131,336.1938461538462
12433.0,2,5,7205.39,6045,163,1441.078
12434.0,17,1,297.29,138,20,297.29
12435.0,32,4,6096.04,2903,68,1524.01
12437.0,31,21,7731.99,5078,216,368.19
12439.0,318,2,1142.88,478,69,571.44
12440.0,98,2,859.2,331,21,429.6
12441.0,2,1,173.55,121,11,173.55
12443.0,368,1,485.31,182,21,485.31
12445.0,56,1,301.58000000000004,144,20,301.58000000000004
12449.0,46,2,768.6,729,10,384.3
12450.0,35,3,490.32,314,25,163.44
12451.0,99,3,3634.36,2784,147,1211.4533333333334
12454.0,31,4,13151.44,6697,9,3287.86
12455.0,81,4,3413.09,1213,121,853.2725
12457.0,71,1,632.68,251,22,632.68
12458.0,63,2,830.09,480,44,415.045
12459.0,241,1,454.36,258,23,454.36
12460.0,92,1,326.65,170,18,326.65
12466.0,318,1,56.73,1,1,56.73
12467.0,59,1,132.8,129,9,132.8
12468.0,162,3,2941.2,1835,102,980.4
12469.0,158,2,3070.54,2552,76,1535.27
12470.0,325,1,211.95,95,23,211.95
12471.0,10,49,20129.54,8658,159,410.8069387755102
12472.0,5,13,11308.48,7202,312,869.8830769230769
12474.0,14,13,5048.66,3107,197,388.35846153846154
12475.0,45,1,426.26,236,25,426.26
12476.0,32,12,7267.49,3223,225,605.6241666666666
12477.0,35,3,7056.63,2466,209,2352.21
12480.0,35,3,2183.2200000000003,1245,79,727.7400000000001
12481.0,1,6,6765.07,3949,139,1127.5116666666665
12482.0,212,29,23691.4,27042,42,816.944827586207
12483.0,14,11,2612.2000000000003,1050,35,237.4727272727273
12484.0,119,6,1826.78,1079,110,304.4633333333333
12485.0,165,1,708.1,414,34,708.1
12486.0,67,1,1037.28,523,49,1037.28
12487.0,366,1,285.29999999999995,174,2,285.29999999999995
12490.0,14,11,4405.71,2842,117,400.5190909090909
12492.0,39,1,452.0,252,22,452.0
12494.0,1,3,626.77,281,28,208.92333333333332
12495.0,276,1,357.4,130,17,357.4
12496.0,256,2,45.34,30,10,22.67
12497.0,36,2,5205.400000000001,4449,30,2602.7000000000003
12499.0,196,1,393.72,302,27,393.72
12500.0,71,8,1697.39,699,61,212.17375
12503.0,220,1,1126.0,561,2,1126.0
12504.0,53,2,297.0,368,8,148.5
12505.0,44,1,955.2,324,42,955.2
12507.0,220,1,539.25,362,28,539.25
12510.0,95,7,4195.45,1696,85,599.35
12511.0,64,1,3084.02,1753,190,3084.02
12514.0,277,1,580.08,400,33,580.08
12516.0,66,2,1336.56,1077,38,668.28
12519.0,112,1,385.7,212,22,385.7
12523.0,10,12,2562.58,1398,105,213.54833333333332
12524.0,24,9,6640.39,3479,65,737.8211111111111
12525.0,134,3,973.73,509,56,324.57666666666665
12527.0,130,2,386.8,292,13,193.4
12529.0,164,1,316.48,192,21,316.48
12530.0,51,5,2096.98,1800,66,419.396
12531.0,322,1,1807.98,1074,110,1807.98
12533.0,263,2,1367.89,704,63,683.945
12537.0,44,1,732.94,449,43,732.94
12538.0,14,1,276.5,145,13,276.5
12539.0,86,3,5646.400000000001,2468,127,1882.1333333333334
12540.0,14,16,8854.25,4334,171,553.390625
12542.0,120,2,481.88,522,39,240.94
12543.0,84,1,980.25,688,43,980.25
12547.0,136,1,175.78,175,13,175.78
12549.0,211,6,1575.68,1366,38,262.61333333333334
12553.0,21,2,916.47,360,39,458.235
12554.0,84,1,468.5,240,26,468.5
12555.0,318,1,129.23,1,1,129.23
12557.0,7,4,6725.18,2398,15,1681.295
12562.0,21,2,1185.18,548,33,592.59
12563.0,44,1,249.24,113,13,249.24
12567.0,3,7,4308.58,1781,146,615.5114285714286
12568.0,280,1,70.0,48,5,70.0
12570.0,318,1,77.52,1,1,77.52
12573.0,17,4,556.87,395,83,139.2175
12575.0,93,2,622.8199999999999,315,34,311.40999999999997
12576.0,28,3,826.89,527,51,275.63
12577.0,17,5,990.5,722,144,198.1
12578.0,21,2,1847.94,1184,53,923.97
12580.0,212,1,637.2,331,34,637.2
12582.0,58,2,1469.04,685,79,734.52
12583.0,9,13,7166.0599999999995,3924,87,551.2353846153845
12586.0,10,3,1865.73,608,76,621.91
12588.0,35,3,743.88,385,27,247.96
12589.0,57,6,4048.98,1458,100,674.83
12591.0,26,2,886.1,425,38,443.05
12592.0,155,3,2145.06,1585,32,715.02
12594.0,14,5,1751.89,991,60,350.37800000000004
12595.0,140,1,299.02,271,19,299.02
12598.0,99,3,1511.01,942,69,503.67
12599.0,17,6,1264.14,1233,37,210.69000000000003
12600.0,7,12,2444.88,640,32,203.74
12601.0,40,1,104.19999999999999,45,6,104.19999999999999
12605.0,12,4,1232.95,929,63,308.2375
12606.0,318,1,21.0,1,1,21.0
12608.0,40,1,415.79,323,16,415.79
12609.0,10,6,2309.01,905,84,384.83500000000004
12613.0,24,5,3472.9900000000002,2513,132,694.5980000000001
12615.0,49,4,3449.79,1941,147,862.4475
12616.0,24,1,417.8,214,22,417.8
12619.0,196,1,140.14,140,10,140.14
12621.0,1,16,11086.14,6493,163,692.88375
12623.0,52,6,3442.7400000000002,1780,109,573.7900000000001
12625.0,145,2,2481.06,1697,85,1240.53
12629.0,21,2,1558.22,722,40,779.11
